	Estimate	Std..Error	df	t.value	Pr...t..
(Intercept)	7.236493462	0.260577011	68.64018442	27.77103564	0
social1	0.436627607	0.148051737	11939.28013	2.949155576	0.003192613
opponent2	-1.115736267	0.148183318	11939.45567	-7.52943233	5.46E-14
opponent3	-1.773412154	0.148804996	11939.48698	-11.91769231	0
opp_trial	0.020422001	0.004381052	11939.98054	4.661437491	3.17E-06
social1:opponent2	0.027981791	0.209904913	11939.43466	0.133306987	0.893952849
social1:opponent3	0.270837437	0.2101475	11939.43148	1.288796852	0.197493692
social1:opp_trial	0.009541524	0.006170702	11939.82824	1.546262297	0.122067737
opponent2:opp_trial	-0.029867118	0.006184426	11940.39451	-4.829408235	1.39E-06
opponent3:opp_trial	-0.051373966	0.0062648	11940.47473	-8.200415562	2.22E-16
social1:opponent2:opp_trial	-0.00817223	0.008784846	11940.31942	-0.930264444	0.352252989
social1:opponent3:opp_trial	-0.021051811	0.0088194	11940.30338	-2.386988942	0.017002471
