soc_exp_a1	soc_exp_a2	soc_exp_beta	soc_exp_a0	nonsoc_exp_a1	nonsoc_exp_a2	nonsoc_exp_beta	nonsoc_exp_a0
0.036465972	0.007006472	0.693660332	0.075154834	0.127151554	0.007351168	0.680069099	-1.869038996
0.082535856	0.05596081	1.505150909	0.137192903	0.912845727	0.101982909	0.467191053	-6.643952515
0.000821916	0.042967947	0.806860754	-1.062927987	0.005705377	0.000878346	5.590812785	-2.488219904
0.000290568	0.002200858	1.048753856	-4.117403864	5.07E-05	0.002417029	6.664872529	-1.81380471
0.095585406	0.091292512	1.517386396	-6.904690896	9.95E-05	0.015786822	7.015272543	-1.259747243
8.44E-05	0.019561089	8.284166532	-2.699021571	0.002052209	0.016978337	0.485190689	-4.458627289
4.10E-05	0.010228922	13.05924685	-4.63931693	0.007076293	0.01509283	13.36564854	-5.609145144
0.937294755	0.01626062	0.17229348	-3.479679906	0.728608547	0.040214683	0.348139206	-1.457057044
0.634681256	0.380239852	0.554238141	-1.448293681	0.890802326	0.943829737	0.88587247	-4.789809942
0.24275269	0.060157327	1.317126041	-8.30480305	0.360835179	0.077406493	1.117281034	-5.424293657
0.071060949	0.030759799	2.09704081	-7.522032371	0.017492922	0.014353714	2.923015153	-1.117544587
0.007658615	0.079021584	4.733716124	-1.151291551	0.0454017	0.03755432	0.69195085	-0.99345219
0.291212009	0.042952782	1.047779849	-9.987565566	0.475314247	0.079006418	1.005885576	-13.06856549
0.173966792	0.066179826	1.558978406	-3.328914306	0.608639636	0.105621948	1.035131249	-9.137376375
9.17E-05	2.68E-05	1.21E+01	-1.91E+00	0.041005856	0.035164	11.78968939	-5.805181123
0.320235951	0.000194303	1.257212572	-7.464819072	0.017909885	0.008835602	9.440791307	-1.693913889
0.179125242	0.08432182	0.332602663	-6.373734948	0.180361569	0.112358185	0.430057097	-2.765123601
0.602210409	0.093024112	1.455494098	-10.78171793	0.305181554	0.042689055	1.82296546	-5.504463784
0.193269985	0.048979007	1.614834896	-5.457240211	0.54773122	0.112943174	0.843116715	-6.116946512
0.153269634	0.095038814	0.649647325	-3.615450859	0.967128626	0.224775426	0.322061337	1.931240764
0.000181142	0.049261819	4.129235074	-5.715429291	0.000642034	0.20022852	3.245067131	-5.765635481
0.472376553	0.090674436	0.885885987	-10.16199171	0.369954577	0.072366469	2.933154742	-5.325807708
0.631639921	0.085090271	1.182170801	-11.61487709	0.215352358	0.080277294	2.120520356	-8.630467281
0.087413445	0.002994164	0.269080027	-3.073517186	0.466295705	0.073229542	0.53258811	-5.589281519
0.018282234	0.016980408	2.313409471	-0.742146847	0.203414056	0.023929738	2.169753285	-8.11865931
0.002606268	0.000354594	7.676733777	-1.223188832	0.003498226	5.09E-05	8.107755621	-1.015360033
0.018327282	0.121298472	4.507578438	-1.794580191	0.002059741	0.000798438	3.404086823	-1.694520086
0.014946074	0.020915687	11.0298165	-1.677414683	0.029595919	0.012205879	1.355040559	-1.369859612
0.0003044	0.000998744	1.50264945	-2.73588207	0.00226578	0.002269237	17.42229576	-3.467391065
0.740115871	0.000298982	0.380420205	-2.808615652	0.577902924	0.038379177	0.315204446	-1.606315192
0.000327832	0.000628369	1.776366446	-4.926437539	0.0074505	0.018147711	4.252226982	-2.096436862
0.379229099	0.05285254	2.122282806	-5.083060315	0.377981456	0.032170907	2.540451406	-4.55694539
0.009222062	0.05924146	0.161009137	-3.780704851	0.477346716	0.073818248	0.464367722	-8.293487548
0.529960043	0.057638535	0.564859673	-9.858191091	0.000847057	0.001038873	7.779388093	-1.760559129
0.026247401	0.000843142	1.48002183	-2.378939145	0.000971398	0.007087696	7.427210242	-0.441899265
0.17088826	0.039912875	1.693185444	-2.298896192	0.531348921	0.212790821	0.358451665	0.436301517
0.172842768	0.01970493	1.905401976	-7.368773187	0.007003632	0.091159784	48.91044266	-3.225405054
0.002460296	0.007107246	7.822088953	-2.789518089	0.000343461	0.010115731	38.37707654	-0.468997105
0.02101492	0.014105497	3.778408203	-3.125996428	0.012408906	0.001264052	2.096691557	-2.181115638
0.003324115	0.007312523	12.79753637	-4.151849729	0.005777964	0.027071516	4.709459297	-3.516119352
0.119042508	0.083559271	0.741753646	-5.292829613	0.220890094	0.116559755	0.795703535	-6.108377105
0.114562089	0.019003146	1.902109121	-1.001892514	0.004966433	0.000528821	11.16813368	-1.76197096
0.00017783	0.007629067	3.085157923	-1.06688218	0.006731575	0.002955602	2.504723432	-2.516369503
0.421473458	0.141126836	0.554929724	-4.14478913	0.725366534	0.143099231	0.452943523	-3.003135296
0.030154333	0.010089011	3.413926835	-2.212916847	0.144361003	0.026284827	2.581860565	-6.341995047
0.206699758	0.051354435	1.321616397	-5.164144412	0.315739078	0.047857837	1.05345174	-8.214164436
0.160065003	0.071975912	0.341760678	-4.897799262	0.240347641	0.047834599	0.987993113	-5.820819195
0.002319043	0.002211876	10.42764922	-1.431570115	0.001374838	0.008581068	8.95046151	-0.856510339
0.407732434	0.125266074	1.385596122	-8.897567838	0.246136064	0.09460002	1.358491058	-5.099476257
0.304368045	0.054815749	1.045159626	-4.133466842	0.99286036	0.199192963	0.40520724	-3.41898596
