participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.trial_to_pay,player.amount_earned_on_dictator,player.test_question_1,player.test_question_2,player.test_question_3,player.test_question_4,player.payoff,group.id_in_subsession,group.option1,group.option2,group.amount_offered,group.option_chosen,group.current_opponent,group.payout,group.soc_or_no,group.offer_accepted,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,l7atvoa0,,0,1729,1729,my_ultimatum_3cond_interleafed,120,Final,10.61.234.242,2017-11-17 08:54:27.097171+00:00,1,,,0,1,,,FALSE,TRUE,,,0,1,14,20,14,Option 1,circle,6,Social,,1,rgoo4dc6,,,,,,0
1,l7atvoa0,,0,1729,1729,my_ultimatum_3cond_interleafed,120,Final,10.61.234.242,2017-11-17 08:54:27.097171+00:00,1,,,0,1,,,,,,,0,1,7,9,7,Option 1,square,13,Social,,2,rgoo4dc6,,,,,,0
1,l7atvoa0,,0,1729,1729,my_ultimatum_3cond_interleafed,120,Final,10.61.234.242,2017-11-17 08:54:27.097171+00:00,1,,,0,1,,,,,,,0,1,4,18,4,Option 1,triangle,16,Social,,3,rgoo4dc6,,,,,,0
1,l7atvoa0,,0,1729,1729,my_ultimatum_3cond_interleafed,120,Final,10.61.234.242,2017-11-17 08:54:27.097171+00:00,1,,,0,1,,,,,,,0,1,10,12,10,Option 1,triangle,10,Social,,4,rgoo4dc6,,,,,,0
1,l7atvoa0,,0,1729,1729,my_ultimatum_3cond_interleafed,120,Final,10.61.234.242,2017-11-17 08:54:27.097171+00:00,1,,,0,1,,,,,,,0,1,2,20,2,Option 1,circle,18,Social,,5,rgoo4dc6,,,,,,0
1,l7atvoa0,,0,1729,1729,my_ultimatum_3cond_interleafed,120,Final,10.61.234.242,2017-11-17 08:54:27.097171+00:00,1,,,0,1,,,,,,,0,1,6,4,4,Option 2,circle,16,Social,,6,rgoo4dc6,,,,,,0
1,l7atvoa0,,0,1729,1729,my_ultimatum_3cond_interleafed,120,Final,10.61.234.242,2017-11-17 08:54:27.097171+00:00,1,,,0,1,,,,,,,0,1,6,10,6,Option 1,circle,14,Social,,7,rgoo4dc6,,,,,,0
1,l7atvoa0,,0,1729,1729,my_ultimatum_3cond_interleafed,120,Final,10.61.234.242,2017-11-17 08:54:27.097171+00:00,1,,,0,1,,,,,,,0,1,4,2,2,Option 2,triangle,18,Social,,8,rgoo4dc6,,,,,,0
1,l7atvoa0,,0,1729,1729,my_ultimatum_3cond_interleafed,120,Final,10.61.234.242,2017-11-17 08:54:27.097171+00:00,1,,,0,1,,,,,,,0,1,2,14,2,Option 1,square,18,Social,,9,rgoo4dc6,,,,,,0
1,l7atvoa0,,0,1729,1729,my_ultimatum_3cond_interleafed,120,Final,10.61.234.242,2017-11-17 08:54:27.097171+00:00,1,,,0,1,,,,,,,0,1,5,17,5,Option 1,circle,15,Social,,10,rgoo4dc6,,,,,,0
