offer	option1	option2	payment	sub_name	trial	age
11	11	15	9	Sub_094faop7	1	18
9	9	11	11	Sub_094faop7	2	18
8	8	20	12	Sub_094faop7	3	18
2	2	8	18	Sub_094faop7	4	18
3	9	3	17	Sub_094faop7	5	18
9	9	15	11	Sub_094faop7	6	18
1	1	19	19	Sub_094faop7	7	18
0	0	18	20	Sub_094faop7	8	18
3	3	15	17	Sub_094faop7	9	18
1	1	13	19	Sub_094faop7	10	18
4	16	4	16	Sub_094faop7	11	18
3	3	17	17	Sub_094faop7	12	18
0	0	16	20	Sub_094faop7	13	18
11	17	11	9	Sub_094faop7	14	18
7	11	7	13	Sub_094faop7	15	18
13	15	13	7	Sub_094faop7	16	18
0	0	16	20	Sub_094faop7	17	18
2	2	18	18	Sub_094faop7	18	18
10	10	14	10	Sub_094faop7	19	18
3	5	3	17	Sub_094faop7	20	18
2	2	16	18	Sub_094faop7	21	18
11	11	13	9	Sub_094faop7	22	18
10	10	18	10	Sub_094faop7	23	18
4	4	8	16	Sub_094faop7	24	18
9	9	19	11	Sub_094faop7	25	18
6	8	6	14	Sub_094faop7	26	18
12	14	12	8	Sub_094faop7	27	18
5	5	19	15	Sub_094faop7	28	18
11	17	11	9	Sub_094faop7	29	18
14	14	20	6	Sub_094faop7	30	18
16	16	20	4	Sub_094faop7	31	18
8	8	14	12	Sub_094faop7	32	18
9	9	17	11	Sub_094faop7	33	18
7	19	7	13	Sub_094faop7	34	18
4	4	20	16	Sub_094faop7	35	18
2	2	4	18	Sub_094faop7	36	18
3	3	19	17	Sub_094faop7	37	18
13	17	13	7	Sub_094faop7	38	18
7	7	19	13	Sub_094faop7	39	18
5	15	5	15	Sub_094faop7	40	18
14	14	16	6	Sub_094faop7	41	18
12	20	12	8	Sub_094faop7	42	18
4	4	12	16	Sub_094faop7	43	18
1	1	13	19	Sub_094faop7	44	18
3	5	3	17	Sub_094faop7	45	18
7	15	7	13	Sub_094faop7	46	18
1	1	9	19	Sub_094faop7	47	18
7	7	17	13	Sub_094faop7	48	18
14	20	14	6	Sub_094faop7	49	18
2	2	6	18	Sub_094faop7	50	18
3	3	11	17	Sub_094faop7	51	18
6	8	6	14	Sub_094faop7	52	18
16	18	16	4	Sub_094faop7	53	18
1	1	15	19	Sub_094faop7	54	18
11	19	11	9	Sub_094faop7	55	18
4	4	14	16	Sub_094faop7	56	18
5	7	5	15	Sub_094faop7	57	18
11	11	19	9	Sub_094faop7	58	18
8	8	18	12	Sub_094faop7	59	18
13	13	19	7	Sub_094faop7	60	18
4	4	14	16	Sub_094faop7	61	18
11	11	17	9	Sub_094faop7	62	18
8	8	10	12	Sub_094faop7	63	18
5	5	19	15	Sub_094faop7	64	18
5	5	11	15	Sub_094faop7	65	18
9	13	9	11	Sub_094faop7	66	18
