offer	option1	option2	sub_name	trial
8	8	18	Sub_094faop7	1
11	3	11	Sub_094faop7	2
16	16	0	Sub_094faop7	3
5	5	11	Sub_094faop7	4
10	10	20	Sub_094faop7	5
16	16	20	Sub_094faop7	6
9	9	11	Sub_094faop7	7
15	15	1	Sub_094faop7	8
1	1	15	Sub_094faop7	9
6	6	16	Sub_094faop7	10
6	6	10	Sub_094faop7	11
2	18	2	Sub_094faop7	12
13	19	13	Sub_094faop7	13
15	15	17	Sub_094faop7	14
10	0	10	Sub_094faop7	15
2	2	0	Sub_094faop7	16
3	15	3	Sub_094faop7	17
9	9	17	Sub_094faop7	18
9	9	3	Sub_094faop7	19
8	8	0	Sub_094faop7	20
18	0	18	Sub_094faop7	21
13	13	19	Sub_094faop7	22
15	15	17	Sub_094faop7	23
14	16	14	Sub_094faop7	24
8	8	20	Sub_094faop7	25
8	8	10	Sub_094faop7	26
8	8	18	Sub_094faop7	27
9	1	9	Sub_094faop7	28
13	13	15	Sub_094faop7	29
7	5	7	Sub_094faop7	30
4	0	4	Sub_094faop7	31
9	5	9	Sub_094faop7	32
16	18	16	Sub_094faop7	33
13	5	13	Sub_094faop7	34
2	2	20	Sub_094faop7	35
14	2	14	Sub_094faop7	36
14	0	14	Sub_094faop7	37
8	8	6	Sub_094faop7	38
15	15	19	Sub_094faop7	39
12	6	12	Sub_094faop7	40
10	10	18	Sub_094faop7	41
5	5	19	Sub_094faop7	42
7	13	7	Sub_094faop7	43
12	18	12	Sub_094faop7	44
9	5	9	Sub_094faop7	45
16	2	16	Sub_094faop7	46
2	2	20	Sub_094faop7	47
14	14	20	Sub_094faop7	48
10	14	10	Sub_094faop7	49
17	1	17	Sub_094faop7	50
7	7	5	Sub_094faop7	51
12	2	12	Sub_094faop7	52
5	13	5	Sub_094faop7	53
11	1	11	Sub_094faop7	54
7	7	13	Sub_094faop7	55
7	7	17	Sub_094faop7	56
11	11	19	Sub_094faop7	57
12	0	12	Sub_094faop7	58
9	9	15	Sub_094faop7	59
6	12	6	Sub_094faop7	60
6	6	20	Sub_094faop7	61
7	7	11	Sub_094faop7	62
5	1	5	Sub_094faop7	63
2	2	18	Sub_094faop7	64
11	1	11	Sub_094faop7	65
15	15	17	Sub_094faop7	66
4	4	14	Sub_094faop7	67
10	16	10	Sub_094faop7	68
7	7	1	Sub_094faop7	69
12	12	4	Sub_094faop7	70
9	9	19	Sub_094faop7	71
11	5	11	Sub_094faop7	72
15	15	19	Sub_094faop7	73
7	19	7	Sub_094faop7	74
14	14	2	Sub_094faop7	75
12	12	20	Sub_094faop7	76
7	1	7	Sub_094faop7	77
10	4	10	Sub_094faop7	78
14	14	16	Sub_094faop7	79
6	6	14	Sub_094faop7	80
5	17	5	Sub_094faop7	81
6	6	4	Sub_094faop7	82
14	0	14	Sub_094faop7	83
14	14	20	Sub_094faop7	84
9	1	9	Sub_094faop7	85
9	13	9	Sub_094faop7	86
13	15	13	Sub_094faop7	87
13	13	3	Sub_094faop7	88
3	3	19	Sub_094faop7	89
10	10	2	Sub_094faop7	90
6	6	10	Sub_094faop7	91
9	9	11	Sub_094faop7	92
10	10	0	Sub_094faop7	93
3	3	1	Sub_094faop7	94
7	7	19	Sub_094faop7	95
10	10	16	Sub_094faop7	96
17	17	19	Sub_0kpomf59	1
4	4	20	Sub_0kpomf59	2
10	10	20	Sub_0kpomf59	3
10	6	10	Sub_0kpomf59	4
11	19	11	Sub_0kpomf59	5
6	20	6	Sub_0kpomf59	6
7	19	7	Sub_0kpomf59	7
7	7	3	Sub_0kpomf59	8
13	7	13	Sub_0kpomf59	9
13	17	13	Sub_0kpomf59	10
6	0	6	Sub_0kpomf59	11
8	8	16	Sub_0kpomf59	12
14	6	14	Sub_0kpomf59	13
17	7	17	Sub_0kpomf59	14
19	3	19	Sub_0kpomf59	15
16	16	18	Sub_0kpomf59	16
9	9	13	Sub_0kpomf59	17
10	10	16	Sub_0kpomf59	18
10	0	10	Sub_0kpomf59	19
17	19	17	Sub_0kpomf59	20
13	3	13	Sub_0kpomf59	21
11	7	11	Sub_0kpomf59	22
6	4	6	Sub_0kpomf59	23
2	20	2	Sub_0kpomf59	24
9	9	1	Sub_0kpomf59	25
18	2	18	Sub_0kpomf59	26
15	15	19	Sub_0kpomf59	27
18	6	18	Sub_0kpomf59	28
15	15	7	Sub_0kpomf59	29
10	10	0	Sub_0kpomf59	30
5	5	1	Sub_0kpomf59	31
19	7	19	Sub_0kpomf59	32
9	5	9	Sub_0kpomf59	33
8	8	12	Sub_0kpomf59	34
16	16	18	Sub_0kpomf59	35
8	8	6	Sub_0kpomf59	36
15	7	15	Sub_0kpomf59	37
9	7	9	Sub_0kpomf59	38
5	5	1	Sub_0kpomf59	39
15	7	15	Sub_0kpomf59	40
11	5	11	Sub_0kpomf59	41
16	16	20	Sub_0kpomf59	42
2	0	2	Sub_0kpomf59	43
9	7	9	Sub_0kpomf59	44
14	0	14	Sub_0kpomf59	45
7	5	7	Sub_0kpomf59	46
12	12	18	Sub_0kpomf59	47
14	2	14	Sub_0kpomf59	48
11	11	7	Sub_0kpomf59	49
13	1	13	Sub_0kpomf59	50
14	0	14	Sub_0kpomf59	51
12	12	6	Sub_0kpomf59	52
8	0	8	Sub_0kpomf59	53
6	4	6	Sub_0kpomf59	54
10	10	0	Sub_0kpomf59	55
3	3	1	Sub_0kpomf59	56
18	18	6	Sub_0kpomf59	57
18	6	18	Sub_0kpomf59	58
7	7	1	Sub_0kpomf59	59
12	2	12	Sub_0kpomf59	60
8	2	8	Sub_0kpomf59	61
15	15	3	Sub_0kpomf59	62
15	5	15	Sub_0kpomf59	63
9	9	17	Sub_0kpomf59	64
11	11	19	Sub_0kpomf59	65
11	11	5	Sub_0kpomf59	66
13	17	13	Sub_0kpomf59	67
5	3	5	Sub_0kpomf59	68
18	20	18	Sub_0kpomf59	69
