offer	option1	option2	sub_name	trial
6	6	20	Sub_094faop7	1
18	0	18	Sub_094faop7	2
10	20	10	Sub_094faop7	3
5	5	15	Sub_094faop7	4
8	8	18	Sub_094faop7	5
7	7	15	Sub_094faop7	6
14	14	2	Sub_094faop7	7
9	7	9	Sub_094faop7	8
9	9	1	Sub_094faop7	9
5	5	11	Sub_094faop7	10
14	4	14	Sub_094faop7	11
7	3	7	Sub_094faop7	12
12	12	16	Sub_094faop7	13
8	8	20	Sub_094faop7	14
10	10	18	Sub_094faop7	15
4	0	4	Sub_094faop7	16
16	16	20	Sub_094faop7	17
14	4	14	Sub_094faop7	18
6	6	2	Sub_094faop7	19
11	7	11	Sub_094faop7	20
3	19	3	Sub_094faop7	21
7	7	13	Sub_094faop7	22
0	20	0	Sub_094faop7	23
3	1	3	Sub_094faop7	24
13	13	19	Sub_094faop7	25
7	5	7	Sub_094faop7	26
18	18	20	Sub_094faop7	27
11	11	1	Sub_094faop7	28
9	9	7	Sub_094faop7	29
8	8	18	Sub_094faop7	30
9	9	15	Sub_094faop7	31
6	2	6	Sub_094faop7	32
15	19	15	Sub_094faop7	33
10	18	10	Sub_094faop7	34
8	6	8	Sub_094faop7	35
6	6	18	Sub_094faop7	36
13	13	17	Sub_094faop7	37
13	13	5	Sub_094faop7	38
15	15	17	Sub_094faop7	39
13	13	15	Sub_094faop7	40
16	16	18	Sub_094faop7	41
8	8	12	Sub_094faop7	42
7	7	17	Sub_094faop7	43
2	2	18	Sub_094faop7	44
14	14	18	Sub_094faop7	45
11	3	11	Sub_094faop7	46
10	10	4	Sub_094faop7	47
8	0	8	Sub_094faop7	48
11	11	15	Sub_094faop7	49
9	19	9	Sub_094faop7	50
9	3	9	Sub_094faop7	51
7	7	15	Sub_094faop7	52
12	20	12	Sub_094faop7	53
8	14	8	Sub_094faop7	54
16	4	16	Sub_094faop7	55
15	1	15	Sub_094faop7	56
14	14	20	Sub_094faop7	57
13	9	13	Sub_094faop7	58
17	17	19	Sub_094faop7	59
7	3	7	Sub_094faop7	60
15	1	15	Sub_094faop7	61
12	12	18	Sub_094faop7	62
4	18	4	Sub_094faop7	63
11	11	13	Sub_094faop7	64
17	17	1	Sub_094faop7	65
6	6	20	Sub_094faop7	66
4	4	16	Sub_094faop7	67
14	14	0	Sub_094faop7	68
5	5	19	Sub_094faop7	69
6	0	6	Sub_094faop7	70
10	10	0	Sub_094faop7	71
18	18	20	Sub_094faop7	72
11	11	15	Sub_094faop7	73
12	6	12	Sub_094faop7	74
7	1	7	Sub_094faop7	75
13	13	17	Sub_094faop7	76
7	7	5	Sub_094faop7	77
9	15	9	Sub_094faop7	78
18	18	20	Sub_094faop7	79
7	7	17	Sub_094faop7	80
9	1	9	Sub_094faop7	81
7	7	17	Sub_094faop7	82
8	12	8	Sub_094faop7	83
12	12	20	Sub_094faop7	84
11	9	11	Sub_094faop7	85
10	10	8	Sub_094faop7	86
5	3	5	Sub_094faop7	87
10	6	10	Sub_094faop7	88
8	8	14	Sub_094faop7	89
8	2	8	Sub_094faop7	90
15	15	19	Sub_094faop7	91
5	5	19	Sub_094faop7	92
0	0	20	Sub_094faop7	93
4	0	4	Sub_094faop7	94
1	1	19	Sub_094faop7	95
4	2	4	Sub_094faop7	96
10	0	10	Sub_0kpomf59	1
11	11	17	Sub_0kpomf59	2
10	10	14	Sub_0kpomf59	3
16	16	2	Sub_0kpomf59	4
11	3	11	Sub_0kpomf59	5
18	18	2	Sub_0kpomf59	6
11	3	11	Sub_0kpomf59	7
18	18	2	Sub_0kpomf59	8
5	5	19	Sub_0kpomf59	9
18	20	18	Sub_0kpomf59	10
11	1	11	Sub_0kpomf59	11
5	1	5	Sub_0kpomf59	12
9	9	19	Sub_0kpomf59	13
6	0	6	Sub_0kpomf59	14
12	0	12	Sub_0kpomf59	15
15	3	15	Sub_0kpomf59	16
6	2	6	Sub_0kpomf59	17
18	18	20	Sub_0kpomf59	18
2	0	2	Sub_0kpomf59	19
19	19	3	Sub_0kpomf59	20
15	19	15	Sub_0kpomf59	21
4	2	4	Sub_0kpomf59	22
9	9	17	Sub_0kpomf59	23
14	14	16	Sub_0kpomf59	24
0	4	0	Sub_0kpomf59	25
13	5	13	Sub_0kpomf59	26
8	6	8	Sub_0kpomf59	27
9	5	9	Sub_0kpomf59	28
8	8	18	Sub_0kpomf59	29
6	20	6	Sub_0kpomf59	30
19	5	19	Sub_0kpomf59	31
0	0	20	Sub_0kpomf59	32
16	8	16	Sub_0kpomf59	33
10	10	0	Sub_0kpomf59	34
11	5	11	Sub_0kpomf59	35
18	18	2	Sub_0kpomf59	36
17	17	19	Sub_0kpomf59	37
16	6	16	Sub_0kpomf59	38
12	2	12	Sub_0kpomf59	39
12	12	16	Sub_0kpomf59	40
13	13	15	Sub_0kpomf59	41
14	6	14	Sub_0kpomf59	42
14	14	18	Sub_0kpomf59	43
13	13	19	Sub_0kpomf59	44
18	18	4	Sub_0kpomf59	45
14	8	14	Sub_0kpomf59	46
12	0	12	Sub_0kpomf59	47
9	9	19	Sub_0kpomf59	48
4	20	4	Sub_0kpomf59	49
9	7	9	Sub_0kpomf59	50
0	0	20	Sub_0kpomf59	51
12	4	12	Sub_0kpomf59	52
16	16	18	Sub_0kpomf59	53
11	11	19	Sub_0kpomf59	54
7	7	19	Sub_0kpomf59	55
17	17	3	Sub_0kpomf59	56
8	6	8	Sub_0kpomf59	57
12	12	16	Sub_0kpomf59	58
15	5	15	Sub_0kpomf59	59
7	7	15	Sub_0kpomf59	60
19	1	19	Sub_0kpomf59	61
10	10	16	Sub_0kpomf59	62
10	2	10	Sub_0kpomf59	63
13	1	13	Sub_0kpomf59	64
9	3	9	Sub_0kpomf59	65
