offer	accepted	payoff	social	opponent	explicit	sub_name	trial	age
10	1	10	0	1	0	Sub_094faop7	1	18
9	1	11	0	1	0	Sub_094faop7	2	18
6	1	14	0	2	0	Sub_094faop7	3	18
5	1	15	0	1	0	Sub_094faop7	4	18
4	1	16	0	3	0	Sub_094faop7	5	18
3	1	17	0	2	0	Sub_094faop7	6	18
2	0	0	0	1	0	Sub_094faop7	7	18
3	1	17	0	2	0	Sub_094faop7	8	18
3	1	17	0	3	0	Sub_094faop7	9	18
3	0	0	0	2	0	Sub_094faop7	10	18
4	0	0	0	2	0	Sub_094faop7	11	18
5	1	15	0	3	0	Sub_094faop7	12	18
5	1	15	0	3	0	Sub_094faop7	13	18
5	1	15	0	2	0	Sub_094faop7	14	18
5	1	15	0	1	0	Sub_094faop7	15	18
4	0	0	0	1	0	Sub_094faop7	16	18
5	0	0	0	2	0	Sub_094faop7	17	18
5	1	15	0	1	0	Sub_094faop7	18	18
5	1	15	0	1	0	Sub_094faop7	19	18
5	1	15	0	3	0	Sub_094faop7	20	18
5	1	15	0	3	0	Sub_094faop7	21	18
5	1	15	0	1	0	Sub_094faop7	22	18
5	1	15	0	3	0	Sub_094faop7	23	18
5	1	15	0	2	0	Sub_094faop7	24	18
4	1	16	0	2	0	Sub_094faop7	25	18
3	0	0	0	2	0	Sub_094faop7	26	18
4	1	16	0	2	0	Sub_094faop7	27	18
4	1	16	0	3	0	Sub_094faop7	28	18
4	1	16	0	3	0	Sub_094faop7	29	18
4	0	0	0	1	0	Sub_094faop7	30	18
5	1	15	0	3	0	Sub_094faop7	31	18
5	1	15	0	2	0	Sub_094faop7	32	18
5	1	15	0	2	0	Sub_094faop7	33	18
5	1	15	0	2	0	Sub_094faop7	34	18
5	0	0	0	2	0	Sub_094faop7	35	18
5	1	15	0	3	0	Sub_094faop7	36	18
5	1	15	0	3	0	Sub_094faop7	37	18
5	1	15	0	3	0	Sub_094faop7	38	18
5	0	0	0	1	0	Sub_094faop7	39	18
5	1	15	0	3	0	Sub_094faop7	40	18
5	1	15	0	3	0	Sub_094faop7	41	18
5	1	15	0	3	0	Sub_094faop7	42	18
