participant.id_in_session	participant.code	participant.visited	participant.payoff	player.id_in_group	player.payoff	group.id_in_subsession	group.amount_offered	group.current_opponent	group.payout	group.soc_or_no	group.offer_accepted	subsession.round_number	session.code
1	kwi91ww8	1	0	1	0	1	10	triangle	0	Non-social	0	1	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	square	10	Non-social	1	2	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	triangle	10	Non-social	1	3	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	circle	10	Non-social	1	4	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	triangle	10	Non-social	1	5	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	square	10	Non-social	1	6	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	triangle	0	Non-social	0	7	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	square	10	Non-social	1	8	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	triangle	10	Non-social	1	9	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	circle	10	Non-social	1	10	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	circle	10	Non-social	1	11	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	circle	10	Non-social	1	12	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	square	10	Non-social	1	13	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	square	10	Non-social	1	14	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	triangle	10	Non-social	1	15	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	square	10	Non-social	1	16	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	circle	10	Non-social	1	17	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	circle	10	Non-social	1	18	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	circle	10	Non-social	1	19	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	triangle	10	Non-social	1	20	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	triangle	10	Non-social	1	21	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	triangle	10	Non-social	1	22	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	circle	10	Non-social	1	23	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	triangle	10	Non-social	1	24	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	circle	10	Non-social	1	25	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	triangle	10	Non-social	1	26	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	triangle	0	Non-social	0	27	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	square	10	Non-social	1	28	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	triangle	10	Non-social	1	29	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	square	10	Non-social	1	30	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	circle	10	Non-social	1	31	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	triangle	10	Non-social	1	32	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	square	10	Non-social	1	33	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	square	10	Non-social	1	34	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	square	10	Non-social	1	35	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	triangle	10	Non-social	1	36	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	square	10	Non-social	1	37	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	circle	10	Non-social	1	38	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	square	10	Non-social	1	39	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	square	10	Non-social	1	40	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	triangle	10	Non-social	1	41	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	triangle	10	Non-social	1	42	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	square	10	Non-social	1	43	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	square	10	Non-social	1	44	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	circle	10	Non-social	1	45	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	square	10	Non-social	1	46	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	circle	10	Non-social	1	47	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	circle	10	Non-social	1	48	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	square	10	Non-social	1	49	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	circle	10	Non-social	1	50	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	triangle	10	Non-social	1	51	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	circle	10	Non-social	1	52	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	circle	10	Non-social	1	53	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	square	10	Non-social	1	54	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	circle	10	Non-social	1	55	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	circle	10	Non-social	1	56	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	circle	10	Non-social	1	57	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	circle	10	Non-social	1	58	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	square	10	Non-social	1	59	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	circle	10	Non-social	1	60	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	square	10	Social	1	61	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	triangle	10	Social	1	62	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	triangle	10	Social	1	63	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	square	10	Social	1	64	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	circle	10	Social	1	65	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	triangle	10	Social	1	66	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	circle	10	Social	1	67	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	square	10	Social	1	68	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	triangle	10	Social	1	69	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	square	10	Social	1	70	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	triangle	0	Social	0	71	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	square	10	Social	1	72	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	triangle	0	Social	0	73	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	triangle	10	Social	1	74	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	circle	10	Social	1	75	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	circle	10	Social	1	76	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	circle	10	Social	1	77	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	circle	10	Social	1	78	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	square	10	Social	1	79	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	circle	10	Social	1	80	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	circle	10	Social	1	81	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	square	10	Social	1	82	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	circle	10	Social	1	83	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	square	10	Social	1	84	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	square	10	Social	1	85	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	circle	0	Social	0	86	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	triangle	10	Social	1	87	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	circle	10	Social	1	88	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	square	10	Social	1	89	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	triangle	0	Social	0	90	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	circle	10	Social	1	91	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	triangle	10	Social	1	92	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	triangle	10	Social	1	93	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	triangle	10	Social	1	94	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	square	10	Social	1	95	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	square	10	Social	1	96	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	circle	10	Social	1	97	nc5wfkx6
1	kwi91ww8	1	0	1	0	1	10	square	10	Social	1	98	nc5wfkx6
